,SIDateTime,ElectricActivity,NLS,ltgAll,VASR_AB,OverallABmedInfra,OverallABmedSeis,maxseisDur,maxinfraDur,CRF_yn,CRF_yn2,start_ElectricActivity,Factor_ltgAll
221,5/30/15 15:38:09,12.628945,16,2,4.900795197,169700.403,47193.16536,76.93,70.5,n,n,12.62896925,1
225,5/30/15 16:09:03,4.0255731,11,1,1.231621637,122338.7243,139665.0256,77.04,65.95,n,n,4.02559735,1
227,5/30/15 16:33:15,48.127613,5,0,1.170510584,357764.7038,404117.1686,97.02,90.22,n,n,48.12763725,0
228,5/30/15 16:41:16,0,1,0,0.651754362,89880.41289,193438.7474,114.2,90.27,n,n,2.43E-05,0
230,5/30/15 16:56:40,14.398957,6,1,0.352468255,37192.21657,140812.0598,68.17,60.33,n,n,14.39898125,1
232,5/30/15 17:36:28,0.001358864,7,1,10.16341571,6803000.118,729603.1693,20.38,9.23,n,n,0.001383114,1
233,5/30/15 17:44:19,4.5641162,15,2,2.283450994,158482.1952,72823.25741,42.23,33.16,n,n,4.56414045,1
241,5/30/15 18:27:01,4.1733557,2,0,4.110965666,49086.00696,14497.20796,28.72,20.54,n,n,4.17337995,0
246,5/30/15 19:50:14,0.000931673,5,1,8.403675297,100695.7484,76460.92068,44.97,20.77,n,n,0.000955923,1
248,5/30/15 19:56:44,0.00313135,5,1,5.324811728,104761.2654,123682.3712,29.03,21.39,n,n,0.0031556,1
249,5/30/15 20:00:52,0.000631849,3,1,5.157329158,316300.1903,403417.0844,84.6,61.28,n,n,0.000656099,1
251,5/30/15 21:32:44,16.428302,19,3,0.975531122,452057.8567,2833522.675,62.85,57.78,n,n,16.42832625,1
252,5/30/15 21:43:08,305.41802,191,16,1.433940528,173305.9043,1292964.364,97.02,89.84,n,n,305.4180443,1
256,5/30/15 22:20:07,150.20871,82,5,2.482910074,13457.95143,35749.19333,25.34,19.66,n,n,150.2087343,1
257,5/30/15 22:30:07,40.211553,54,4,0.918655018,173736.9754,1444128.875,111.89,90.26,n,n,40.21157725,1
258,5/30/15 22:39:16,0,1,0,2.476047299,279481.9837,749256.7561,83.87,67.85,n,n,2.43E-05,0
260,5/30/15 22:53:39,48.389101,105,5,1.594887871,151496.4202,614991.7902,34.13,19.91,n,n,48.38912525,1
263,5/30/15 23:58:18,71.654138,92,9,1.601738609,505791.7446,1835048.038,106.68,90.17,n,n,71.65416225,1
267,5/31/15 00:37:30,11.273278,96,4,0.828618232,303562.0537,1872588.121,95.72,71.4,n,n,11.27330225,1
269,5/31/15 00:43:29,4.7027953,2,0,0.539468468,57932.6896,781393.8104,63.1,52.62,n,n,4.70281955,0
273,5/31/15 04:00:57,1.8743659,10,1,1.029350332,7594006.259,29530963.89,38.17,29.32,n,n,1.87439015,1
276,5/31/15 04:48:25,0.000977223,6,1,14.06059039,16968995.42,6220652.547,75.65,66.86,n,n,0.001001473,1
279,5/31/15 05:13:10,30.674638,59,2,3.870459851,313380.5564,383630.1228,37.35,27.14,n,n,30.67466225,1
288,5/31/15 08:13:31,61.352048,234,14,2.682621188,13091144.33,11499454.54,100.71,90.92,n,n,61.35207225,1
297,5/31/15 11:09:10,5.3050923,21,2,4.102228578,507182701.4,489163861.9,53.21,44.5,n,n,5.30511655,1
300,5/31/15 11:27:00,0,1,0,6.477491412,12243.82005,11829.18376,18.51,10.67,n,n,2.43E-05,0
302,5/31/15 11:34:20,4.8369665,3,0,5.714375483,1862559.765,836144.0763,55.46,44.78,n,n,4.83699075,0
303,5/31/15 11:42:10,24.268152,20,2,8.534584258,550832.9732,398415.2541,102.83,90.07,n,n,24.26817625,1
323,6/1/15 04:26:03,0,1,0,4.028946659,167443.4549,381021.4199,20.17,13.07,n,n,2.43E-05,0
328,6/1/15 07:03:17,0,1,0,4.445436125,105618.1387,179347.3633,23.72,15.73,n,n,2.43E-05,0
331,6/1/15 07:34:05,133.37644,422,18,1.492251078,10382.27554,51258.52796,17.11,6.56,n,n,133.3764643,1
332,6/1/15 08:02:00,0,1,0,0.590610243,21584.16344,220779.1487,20.59,6.53,n,n,2.43E-05,0
339,6/1/15 09:12:15,0,1,0,4.227283199,133087.4969,426827.4325,49.38,43.77,n,n,2.43E-05,0
341,6/1/15 09:34:48,0.001240368,2,0,3.878305922,205361.1545,527060.5922,46.72,41.38,n,n,0.001264618,0
351,6/1/15 10:03:43,0,1,0,4.115415912,273594.465,428614.3232,48.28,42.4,n,n,2.43E-05,0
353,6/1/15 10:15:47,0.000943732,4,1,2.679927148,283286.1319,700927.8659,43.4,36.91,n,n,0.000967982,1
357,6/1/15 10:54:32,0,1,0,3.269911063,97809.6261,164718.2244,23.53,12.44,n,n,2.43E-05,0
358,6/1/15 11:02:20,0.000132464,3,1,3.050848424,116954.5068,199113.5399,28.73,21.83,n,n,0.000156714,1
364,6/1/15 11:29:56,6.6868941,13,0,1.682317333,814918.4478,2914962.372,45.07,38.31,n,n,6.68691835,0
374,6/1/15 12:10:40,0.003493602,14,1,3.835212527,543005.4078,946737.0695,101.21,90.01,n,n,0.003517852,1
382,6/1/15 12:39:45,4.8685898,11,2,5.16290608,749814.6625,1115131.161,95.88,90.19,n,n,4.86861405,1
388,6/1/15 13:12:39,9.2851439,20,1,9.654084343,441152.0855,422381.2059,56.88,46.51,n,n,9.28516815,1
390,6/1/15 13:18:40,15.307843,33,2,4.292873325,1050379.558,1744938.494,101.2,90.07,n,n,15.30786725,1
397,6/2/15 03:12:39,75.925549,195,3,23.76314732,1855561.569,104996.1268,55.5,46.51,n,n,75.92557325,1
398,6/2/15 03:19:49,3.1086136,10,0,5.187673948,3422496.545,699469.3039,98.43,90.17,n,n,3.10863785,0
402,6/2/15 03:30:51,20.326736,31,1,6.322146079,1081028.07,170990.6821,72.6,60.54,n,n,20.32676025,1
405,6/2/15 03:51:23,66.492804,15,0,7.891879691,2181459.568,247893.238,42.18,32.42,n,n,66.49282825,0
406,6/2/15 04:01:53,5.4987402,4,0,1.301434674,572017.7764,439528.6123,100.57,90.09,n,n,5.49876445,0
411,6/2/15 04:20:55,3.6090091,4,0,3.499048416,101302.8747,38237.04751,45.44,37.69,n,n,3.60903335,0
413,6/2/15 04:25:07,121.4605,20,0,2.683295179,180688.9897,56962.58926,45.03,33.28,n,n,121.4605243,0
421,6/2/15 05:50:36,5.3241498,11,1,0.978347195,102998.2407,105277.8004,87.37,76.85,n,n,5.32417405,1
428,6/2/15 08:05:26,37.220931,48,3,10.40599127,416503.1912,42721.39296,32.83,18.2,n,n,37.22095525,1
430,6/2/15 08:17:17,37.502254,31,3,5.615542849,1010337.933,179918.1238,104.03,90.07,n,n,37.50227825,1
432,6/2/15 08:25:59,33.842586,26,4,1.504279847,167904.1725,101527.4089,101.41,86,n,n,33.84261025,1
434,6/2/15 08:42:37,6.3395931,3,0,0.645195501,155998.1768,215899.7554,88.26,73.93,n,n,6.33961735,0
436,6/2/15 08:54:28,8.4745919,43,4,0.575618049,299546.6558,520391.3538,109.77,90.06,n,n,8.47461615,1
438,6/2/15 09:20:29,6.3240713,7,1,0.498405839,94301.52271,189206.296,70.44,55.57,n,n,6.32409555,1
440,6/2/15 09:36:15,5.3780552,3,0,0.621184659,87017.32179,170953.5201,83.65,69.32,n,n,5.37807945,0
443,6/2/15 09:53:20,17.156884,44,5,0.589435047,235047.6287,398767.6502,86.79,66.04,n,n,17.15690825,1
446,6/2/15 10:36:22,198.31551,638,11,1.669370859,63322.7896,49047.16044,24.11,20.39,n,n,198.3155343,1
447,6/2/15 10:50:10,404.84414,548,37,3.897052439,390979.7818,151672.0602,98.43,90.17,n,n,404.8441643,1
448,6/2/15 10:58:37,11.454839,20,1,3.161132551,526937.0311,222319.9515,94.49,84.08,n,n,11.45486325,1
450,6/2/15 11:06:08,63.004306,70,5,3.840294009,552994.6214,209357.7946,70.54,58.57,n,n,63.00433025,1
451,6/2/15 11:11:57,3.596117,5,0,6.51228535,1184278.773,269437.6438,94.46,90.21,n,n,3.59614125,0
455,6/2/15 11:21:05,14.914035,4,0,8.22914043,886577.1577,149994.8798,80.51,68.39,n,n,14.91405925,0
458,6/2/15 11:35:52,27.110677,42,4,3.72556036,941059.5918,360426.4529,100.8,90.19,n,n,27.11070125,1
461,6/2/15 11:48:14,7.4062023,2,0,2.24624655,207177.1031,134674.9654,67.49,62.22,n,n,7.40622655,0
462,6/2/15 12:03:25,3.2442392,2,0,8.508077211,2002423.539,248220.5629,87.78,72.64,n,n,3.24426345,0
463,6/2/15 12:07:54,6.7806734,59,3,2.752125722,1087049.178,394985.2905,80.48,63.52,n,n,6.78069765,1
465,6/2/15 12:25:52,26.882611,90,7,9.985440265,3310546.641,331537.3737,103.53,90.08,n,n,26.88263525,1
467,6/2/15 12:40:10,43.891676,90,6,8.709767445,2407478.678,311202.7919,99.09,90.21,n,n,43.89170025,1
468,6/2/15 12:50:24,1.934486,2,0,18.06484162,3638200.277,210350.081,64.88,52.75,n,n,1.93451025,0
469,6/2/15 12:53:44,39.03874,62,6,13.32922795,964676.5544,81838.82758,24.29,14.49,n,n,39.03876425,1
