"","SIDateTime","ElectricActivity","NLS","ltgAll","VASR_AB","OverallABmedInfra","OverallABmedSeis","maxseisDur","maxinfraDur","CRF_yn","CRF_yn2","start_ElectricActivity","Factor_ltgAll"
"1480","07-Jun-2015 12:22:24",29.032672,243,6,6.01723993719393,3900227.468037,691726.189556,62.75,49.67,"y","y",29.03269625,"1"
"1492","07-Jun-2015 13:45:30",20.898959,82,7,2.41844584789035,302266.732079,97151.962131,30.51,23.55,"y","y",20.89898325,"1"
"1503","07-Jun-2015 14:47:10",27.042962,90,1,3.4142167179168,297103.646777,103637.131701,27.73,19.95,"y","y",27.04298625,"1"
"1510","07-Jun-2015 16:12:24",28.646828,37,3,1.3023933589095,660551.020488,616445.615263,85.39,77.75,"y","y",28.64685225,"1"
"1521","07-Jun-2015 17:32:04",155.58926,502,17,1.48698981018155,133464.734621,160261.026009,44.07,30.96,"y","y",155.58928425,"1"
"1522","07-Jun-2015 18:21:20",266.56769,7349,61,32.9735029495223,175615377.314948,4090115.313698,36.11,27.84,"y","y",266.56771425,"1"
"1523","07-Jun-2015 18:39:20",31.944461,1265,16,60.1241580372559,16808793.359128,426487.473007,59.97,52.74,"y","y",31.94448525,"1"
"1527","07-Jun-2015 19:06:03",28.235625,21,2,8.87258710145339,1820079.789609,205135.184225,38.43,30.11,"y","y",28.23564925,"1"
"1529","07-Jun-2015 19:57:23",36.282773,1894,24,40.360944776076,244826903.597716,6273651.038041,98.74,90.02,"y","y",36.28279725,"1"
"1533","07-Jun-2015 20:36:26",63.672623,208,15,1.39720282515611,1387650.402847,931052.690371,87.29,81.3,"y","y",63.67264725,"1"
"1541","07-Jun-2015 22:08:55",59.75433,1080,34,8.54983666038967,20324224.37652,2220286.270818,79.33,69.58,"y","y",59.75435425,"1"
"1542","07-Jun-2015 22:13:06",44.699912,198,13,5.16673801499137,2003276.379272,492268.548141,60.05,42.88,"y","y",44.69993625,"1"
"1553","07-Jun-2015 22:58:35",52.140641,162,6,1.31124484508249,74083.831589,56498.854403,10.66,4.64,"y","y",52.14066525,"1"
"1","28-May-2015 00:16:35",0.67397141,24,0,0.0679113380131999,4941.2165625,265476.4565805,28.6,21.68,"n","n",0.67399566,"0"
"2","28-May-2015 01:49:21",1.4011205,6,0,55.4698398315968,520964235.566915,9391846.7612045,77.32,68.38,"n","n",1.40114475,"0"
"3","28-May-2015 02:18:50",5.2223779,4,0,0.194148649841215,6480.3791695,57837.011551,30.32,19.37,"n","n",5.22240215,"0"
"8","28-May-2015 22:28:08",4.6687983,6,1,1.50849855636624,212776.830394,157049.7387455,34.21,17.12,"n","n",4.66882255,"1"
"9","28-May-2015 23:02:30",45.106441,1491,33,3.36796819393046,1241606.1136325,393436.566724,97.98,92.54,"n","n",45.10646525,"1"
"10","28-May-2015 23:05:12",0.002719515,10,1,0.913896278500842,126803.62651,202380.806188,54.16,52.19,"n","n",0.002743765,"1"
"12","28-May-2015 23:10:13",151.17794,3,0,1.23161900206904,69329.371272,85390.6176945,52.7,46.45,"n","n",151.17796425,"0"
"13","29-May-2015 00:05:22",209.99883,735,24,5.7348329682285,75054566.5579005,13087489.552653,99.12,90.29,"n","n",209.99885425,"1"
